2024-10-16 23:45:11,837 [make_data.functions, line 46] ERROR: Error saving the concatenated DataFrame: cannot access local variable 'final_df' where it is not associated with a value
2024-10-16 23:46:10,266 [make_data.functions, line 47] ERROR: Error saving the concatenated DataFrame: 'NoneType' object has no attribute 'to_excel'
2024-10-16 23:47:13,629 [make_data.functions, line 51] WARNING: No valid Excel files were found or concatenated. No output file was created.
2024-10-16 23:48:00,022 [make_data.functions, line 52] WARNING: No valid Excel files were found or concatenated. No output file was created.
2024-10-16 23:51:58,641 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_9급 국가직 공무원_9급 국가직 공무원 건축계획.xlsx with shape (360, 14)
2024-10-16 23:51:58,724 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_9급 국가직 공무원_9급 국가직 공무원 건축구조.xlsx with shape (350, 14)
2024-10-16 23:51:58,795 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_9급 지방직 공무원 서울시_9급 지방직 공무원 서울시 건축계획.xlsx with shape (140, 14)
2024-10-16 23:51:58,834 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_9급 지방직 공무원 서울시_9급 지방직 공무원 서울시 건축구조.xlsx with shape (137, 14)
2024-10-16 23:51:58,913 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_9급 지방직 공무원_9급 지방직 공무원 건축계획.xlsx with shape (320, 14)
2024-10-16 23:51:58,996 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_9급 지방직 공무원_9급 지방직 공무원 건축구조.xlsx with shape (314, 14)
2024-10-16 23:51:59,208 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_기능사_건설기계정비기능사.xlsx with shape (1124, 14)
2024-10-16 23:51:59,435 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_기능사_건설재료시험기능사.xlsx with shape (1074, 14)
2024-10-16 23:52:00,109 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_기능사_실내건축기능사.xlsx with shape (3640, 14)
2024-10-16 23:52:00,753 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_기능사_전산응용건축제도기능사.xlsx with shape (3268, 14)
2024-10-16 23:52:00,847 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_기능장_건설기계정비기능장.xlsx with shape (417, 14)
2024-10-16 23:52:00,918 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_기능장_건축목재시공기능장.xlsx with shape (300, 14)
2024-10-16 23:52:00,979 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_기능장_건축일반시공기능장.xlsx with shape (237, 14)
2024-10-16 23:52:01,589 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_기사_건설기계설비기사.xlsx with shape (3158, 14)
2024-10-16 23:52:03,008 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_기사_건설안전기사.xlsx with shape (7030, 14)
2024-10-16 23:52:03,861 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_기사_건설재료시험기사.xlsx with shape (4386, 14)
2024-10-16 23:52:05,033 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_기사_건축기사.xlsx with shape (5706, 14)
2024-10-16 23:52:06,037 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_기사_건축설비기사.xlsx with shape (5137, 14)
2024-10-16 23:52:07,186 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_기사_실내건축기사(구).xlsx with shape (5963, 14)
2024-10-16 23:52:07,242 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_기사_실내건축기사.xlsx with shape (159, 14)
2024-10-16 23:52:07,587 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_산업기사_건설기계설비산업기사.xlsx with shape (1806, 14)
2024-10-16 23:52:07,822 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_산업기사_건설기계정비산업기사.xlsx with shape (1178, 14)
2024-10-16 23:52:08,919 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_산업기사_건설안전산업기사.xlsx with shape (5661, 14)
2024-10-16 23:52:09,384 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_산업기사_건설재료시험산업기사.xlsx with shape (2306, 14)
2024-10-16 23:52:09,461 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_산업기사_건축목공산업기사.xlsx with shape (293, 14)
2024-10-16 23:52:10,411 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_산업기사_건축산업기사.xlsx with shape (5012, 14)
2024-10-16 23:52:11,132 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_산업기사_건축설비산업기사.xlsx with shape (3661, 14)
2024-10-16 23:52:11,204 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_산업기사_건축일반시공산업기사.xlsx with shape (295, 14)
2024-10-16 23:52:11,847 [make_data.functions, line 36] INFO: Loaded 국가기술자격증시험_산업기사_실내건축산업기사.xlsx with shape (3332, 14)
2024-10-16 23:52:32,644 [make_data.functions, line 53] INFO: Successfully saved concatenated DataFrame to output\3. Domain.xlsx
2024-10-17 18:13:31,928 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_9급 국가직 공무원_9급 국가직 공무원 건축계획.xlsx with shape (360, 15)
2024-10-17 18:13:32,094 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_9급 국가직 공무원_9급 국가직 공무원 건축구조.xlsx with shape (350, 15)
2024-10-17 18:13:32,176 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_9급 지방직 공무원 서울시_9급 지방직 공무원 서울시 건축계획.xlsx with shape (140, 15)
2024-10-17 18:13:32,210 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_9급 지방직 공무원 서울시_9급 지방직 공무원 서울시 건축구조.xlsx with shape (137, 15)
2024-10-17 18:13:32,294 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_9급 지방직 공무원_9급 지방직 공무원 건축계획.xlsx with shape (320, 15)
2024-10-17 18:13:32,377 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_9급 지방직 공무원_9급 지방직 공무원 건축구조.xlsx with shape (314, 15)
2024-10-17 18:13:32,607 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_기능사_건설기계정비기능사.xlsx with shape (1124, 15)
2024-10-17 18:13:32,855 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_기능사_건설재료시험기능사.xlsx with shape (1074, 15)
2024-10-17 18:13:33,597 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_기능사_실내건축기능사.xlsx with shape (3640, 15)
2024-10-17 18:13:34,302 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_기능사_전산응용건축제도기능사.xlsx with shape (3268, 15)
2024-10-17 18:13:34,404 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_기능장_건설기계정비기능장.xlsx with shape (417, 15)
2024-10-17 18:13:34,486 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_기능장_건축목재시공기능장.xlsx with shape (300, 15)
2024-10-17 18:13:34,552 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_기능장_건축일반시공기능장.xlsx with shape (237, 15)
2024-10-17 18:13:35,218 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_기사_건설기계설비기사.xlsx with shape (3158, 15)
2024-10-17 18:13:36,776 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_기사_건설안전기사.xlsx with shape (7030, 15)
2024-10-17 18:13:37,689 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_기사_건설재료시험기사.xlsx with shape (4386, 15)
2024-10-17 18:13:39,006 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_기사_건축기사.xlsx with shape (5706, 15)
2024-10-17 18:13:40,122 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_기사_건축설비기사.xlsx with shape (5137, 15)
2024-10-17 18:13:41,347 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_기사_실내건축기사(구).xlsx with shape (5963, 15)
2024-10-17 18:13:41,414 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_기사_실내건축기사.xlsx with shape (159, 15)
2024-10-17 18:13:41,814 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_산업기사_건설기계설비산업기사.xlsx with shape (1806, 15)
2024-10-17 18:13:42,077 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_산업기사_건설기계정비산업기사.xlsx with shape (1178, 15)
2024-10-17 18:13:43,284 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_산업기사_건설안전산업기사.xlsx with shape (5661, 15)
2024-10-17 18:13:43,769 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_산업기사_건설재료시험산업기사.xlsx with shape (2306, 15)
2024-10-17 18:13:43,852 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_산업기사_건축목공산업기사.xlsx with shape (293, 15)
2024-10-17 18:13:44,941 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_산업기사_건축산업기사.xlsx with shape (5012, 15)
2024-10-17 18:13:45,743 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_산업기사_건축설비산업기사.xlsx with shape (3661, 15)
2024-10-17 18:13:45,831 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_산업기사_건축일반시공산업기사.xlsx with shape (295, 15)
2024-10-17 18:13:46,552 [make_data.functions, line 35] INFO: Loaded 국가기술자격증시험_산업기사_실내건축산업기사.xlsx with shape (3332, 15)
2024-10-17 18:14:09,425 [make_data.functions, line 52] INFO: Successfully saved concatenated DataFrame to output\3. Domain.xlsx
