Question,Answer,Answer Key,A,B,C,D,E,Source
가꾸목의 순화어로 알맞은 것은?,각목,A,각목,토대,준비,품,기초,고용노동부
가랑의 순화어로 알맞은 것은?,수도꼭지,A,수도꼭지,수평보기,페인트,천장,바닥,고용노동부
뎃빵의 순화어로 알맞은 것은?,철판,D,함석,각목,씻어내기,철판,도급주기,고용노동부
노깡의 순화어로 알맞은 것은?,토관,E,"그물, 망",지렛대,씻어내기,마감하기,토관,고용노동부
베니다의 순화어로 알맞은 것은?,합판,A,합판,경첩(힌지),두루마리,준비,동바리,고용노동부
스리 가라스의 순화어로 알맞은 것은?,반투명 유리,A,반투명 유리,가로,맞닿기,폭,볼트 조이기,고용노동부
아나방의 순화어로 알맞은 것은?,구멍철판(P.S.P),B,밑면,구멍철판(P.S.P),"뇟쇠, 황동",장선,웃인방,고용노동부
쿠사비의 순화어로 알맞은 것은?,쐐기,E,웃인방,옷장,반장,테이프 자,쐐기,고용노동부
다루끼의 순화어로 알맞은 것은?,서까래,E,창틀,끌,틀,마감하기,서까래,고용노동부
아시바의 순화어로 알맞은 것은?,비계,B,선반,비계,물끊기,분배,주인,고용노동부
우마의 순화어로 알맞은 것은?,발돋움대,C,속임수,"뇟쇠, 황동",발돋움대,가득,한장,고용노동부
가꾸부찌의 순화어로 알맞은 것은?,문선,A,문선,걸레받이,쇠흙손,서까래,문틀,고용노동부
공구리의 순화어로 알맞은 것은?,콘크리트,B,송곳,콘크리트,동바리,지렛대,가로,고용노동부
반생의 순화어로 알맞은 것은?,결속선,A,결속선,틀,경첩(힌지),반투명 유리,녹막이,고용노동부
도이의 순화어로 알맞은 것은?,홈통,E,주걱,토공,끌,담합,홈통,고용노동부
뺑끼의 순화어로 알맞은 것은?,페인트,E,볼트 조이기,토대,둥근봉,가로,페인트,고용노동부
신쮸(우)의 순화어로 알맞은 것은?,"뇟쇠, 황동",B,다시하기,"뇟쇠, 황동",바름바탕,함석,테이프 자,고용노동부
조방의 순화어로 알맞은 것은?,경첩(힌지),C,줄,단골,경첩(힌지),창선반,토대,고용노동부
기리바시의 순화어로 알맞은 것은?,버팀대,A,버팀대,밑홈대,속임수,대기,버림 콘크리트,고용노동부
삽보드의 순화어로 알맞은 것은?,받침목(써포트),E,토대,도급,도급주기,지렛대,받침목(써포트),고용노동부
오오미끼의 순화어로 알맞은 것은?,멍에,D,토공,벽돌 흙손,옷장,멍에,세로,고용노동부
네다의 순화어로 알맞은 것은?,장선,B,홈파기 대패,장선,끌,둥근톱,단골,고용노동부
렝가의 순화어로 알맞은 것은?,벽돌,A,벽돌,흙막이,계단참,바름바탕,볼트 조이기,고용노동부
도당의 순화어로 알맞은 것은?,함석,D,통나무,페인트,멍에,함석,주물,고용노동부
가다의 순화어로 알맞은 것은?,"틀, 본",A,"틀, 본",두루마리,벽돌,선반,나무 흙손,고용노동부
다데구의 순화어로 알맞은 것은?,창호,D,고창,홈파기,대기,창호,"지불, 계산",고용노동부
마루다의 순화어로 알맞은 것은?,통나무,B,문틀,통나무,안고 돌기,계단 챌면,줄눈,고용노동부
가다(와꾸)의 순화어로 알맞은 것은?,거푸집,E,옷장,재(목재),녹막이,칸막이벽,거푸집,고용노동부
가나모노의 순화어로 알맞은 것은?,철물,C,현장식당,물끊기,철물,손비빔,"틀, 본",고용노동부
구이의 순화어로 알맞은 것은?,말뚝,D,홈통,"뇟쇠, 황동",수레,말뚝,채양,고용노동부
가라스의 순화어로 알맞은 것은?,유리,B,비계,유리,흙막이,마감하기,도급,고용노동부
이모노의 순화어로 알맞은 것은?,주물,C,줄눈,원형대패,주물,무쟁이,수도꼭지,고용노동부
시아게의 순화어로 알맞은 것은?,마무리,A,마무리,창선반,종료,무쟁이,3치,고용노동부
나오시의 순화어로 알맞은 것은?,고치기,E,ㅅ자보,각목,제치장,구멍철판(P.S.P),고치기,고용노동부
노바시의 순화어로 알맞은 것은?,늘리기,D,수도꼭지,한장,규준틀,늘리기,문선,고용노동부
데나오시의 순화어로 알맞은 것은?,다시하기,E,마감하기,줄,마무리,가로,다시하기,고용노동부
멕끼의 순화어로 알맞은 것은?,도금,C,계단 챌면,바름바탕,도금,마감하기,먹둘놓기,고용노동부
사비도메의 순화어로 알맞은 것은?,녹막이,C,틀,반투명 유리,녹막이,분배,울룩불룩,고용노동부
스미의 순화어로 알맞은 것은?,먹둘놓기,B,가새,먹둘놓기,기둥,통나무,경첩(힌지),고용노동부
야리가다의 순화어로 알맞은 것은?,규준틀,D,울룩불룩,높이,도금,규준틀,재(목재),고용노동부
후끼의 순화어로 알맞은 것은?,뿜칠,B,기초,뿜칠,문틀,토공,원척도,고용노동부
오사에의 순화어로 알맞은 것은?,누름,D,녹막이,마감하기,멍에,누름,테이프 자,고용노동부
나라시의 순화어로 알맞은 것은?,고르기,B,현장식당,고르기,틀,안고 돌기,녹막이,고용노동부
단도리의 순화어로 알맞은 것은?,준비,C,3치,평방미터,준비,터파기,현장식당,고용노동부
노리비끼의 순화어로 알맞은 것은?,풀칠,A,풀칠,두루마리,가새,경사,창호,고용노동부
데네리의 순화어로 알맞은 것은?,손비빔,D,물끊기,"반장,우두머리",창틀,손비빔,임시 조이기,고용노동부
멘도리의 순화어로 알맞은 것은?,모접기,D,문틀,거푸집,토공,모접기,두장,고용노동부
스데공구리의 순화어로 알맞은 것은?,버림 콘크리트,D,주물,기둥,철판,버림 콘크리트,볼트 조이기,고용노동부
미즈모리의 순화어로 알맞은 것은?,수평보기,E,경첩(힌지),터파기,둥근톱,창틀,수평보기,고용노동부
오사마리의 순화어로 알맞은 것은?,마감하기,E,홈통,담합,"반장,우두머리",틀,마감하기,고용노동부
누리지의 순화어로 알맞은 것은?,바름바탕,B,도급,바름바탕,숙련공,토공,멍에,고용노동부
보도시메의 순화어로 알맞은 것은?,볼트 조이기,B,창선반,볼트 조이기,주인,준비,통나무,고용노동부
나라시의 순화어로 알맞은 것은?,고르기,D,끌,보,품,고르기,먹둘놓기,고용노동부
단도리의 순화어로 알맞은 것은?,준비,D,멍에,말뚝,윗면,준비,맞닿기,고용노동부
노리비끼의 순화어로 알맞은 것은?,풀칠,E,나사송곳,속임수,넓은날 정,두루마리,풀칠,고용노동부
데네리의 순화어로 알맞은 것은?,손비빔,D,흙손,물끊기,도금,손비빔,무쟁이,고용노동부
멘도리의 순화어로 알맞은 것은?,모접기,B,칸막이벽,모접기,기초,속임수,둥근봉,고용노동부
스데공구리의 순화어로 알맞은 것은?,버림 콘크리트,A,버림 콘크리트,세로,마감하기,"지불, 계산",늘리기,고용노동부
